"","Id","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","ScreenPorch","PoolArea","MoSold","YrSold","SalePrice"
"21",21,101,14215,8,5,2005,2006,1158,1158,1158,1218,2376,0,0,3,1,4,1,9,1,2005,3,853,240,154,0,0,0,11,2006,325300
"22",22,57,7449,7,7,1930,1950,637,637,1108,0,1108,0,0,1,0,3,1,6,1,1930,1,280,0,0,205,0,0,6,2007,139400
"23",23,75,9742,8,5,2002,2002,1777,1777,1795,0,1795,0,0,2,0,3,1,7,1,2002,2,534,171,159,0,0,0,9,2008,230000
"24",24,44,4224,5,7,1976,1976,200,1040,1060,0,1060,1,0,1,0,3,1,6,1,1976,2,572,100,110,0,0,0,6,2007,129900
"25",25,NA,8246,5,8,1968,2001,204,1060,1060,0,1060,1,0,1,0,3,1,6,1,1968,1,270,406,90,0,0,0,5,2010,154000
"26",26,110,14230,8,5,2007,2007,1566,1566,1600,0,1600,0,0,2,0,3,1,7,1,2007,3,890,0,56,0,0,0,7,2009,256300
"27",27,60,7200,5,7,1951,2000,180,900,900,0,900,0,1,1,0,3,1,5,0,2005,2,576,222,32,0,0,0,5,2010,134800
"28",28,98,11478,8,5,2007,2008,486,1704,1704,0,1704,1,0,2,0,3,1,7,1,2008,3,772,0,50,0,0,0,5,2010,306000
"29",29,47,16321,5,6,1957,1997,207,1484,1600,0,1600,1,0,1,0,2,1,6,2,1957,1,319,288,258,0,0,0,12,2006,207500
"30",30,60,6324,4,6,1927,1950,520,520,520,0,520,0,0,1,0,1,1,4,0,1920,1,240,49,0,87,0,0,5,2008,68500
"31",31,50,8500,4,4,1920,1950,649,649,649,668,1317,0,0,1,0,3,1,6,0,1920,1,250,0,54,172,0,0,7,2008,40000
"32",32,NA,8544,5,6,1966,2006,1228,1228,1228,0,1228,0,0,1,1,3,1,6,0,1966,1,271,0,65,0,0,0,6,2008,149350
"33",33,85,11049,8,5,2007,2007,1234,1234,1234,0,1234,0,0,2,0,3,1,7,0,2007,2,484,0,30,0,0,0,1,2008,179900
"34",34,70,10552,5,5,1959,1959,380,1398,1700,0,1700,0,1,1,1,4,1,6,1,1959,2,447,0,38,0,0,0,4,2010,165500
"35",35,60,7313,9,5,2005,2005,408,1561,1561,0,1561,1,0,2,0,2,1,6,1,2005,2,556,203,47,0,0,0,8,2007,277500
"36",36,108,13418,8,5,2004,2005,1117,1117,1132,1320,2452,0,0,3,1,4,1,9,1,2004,3,691,113,32,0,0,0,9,2006,309000
"37",37,112,10859,5,5,1994,1995,1097,1097,1097,0,1097,0,0,1,1,3,1,6,0,1995,2,672,392,64,0,0,0,6,2009,145000
"38",38,74,8532,5,6,1954,1990,84,1297,1297,0,1297,0,1,1,0,3,1,5,1,1954,2,498,0,0,0,0,0,10,2009,153000
"39",39,68,7922,5,7,1953,2007,326,1057,1057,0,1057,1,0,1,0,3,1,5,0,1953,1,246,0,52,0,0,0,1,2010,109000
"40",40,65,6040,4,5,1955,1955,0,0,1152,0,1152,0,0,2,0,2,2,6,0,NA,0,0,0,0,0,0,0,6,2008,82000
"41",41,84,8658,6,5,1965,1965,445,1088,1324,0,1324,0,0,2,0,3,1,6,1,1965,2,440,0,138,0,0,0,12,2006,160000
"42",42,115,16905,5,6,1959,1959,383,1350,1328,0,1328,0,1,1,1,2,1,5,2,1959,1,308,0,104,0,0,0,7,2007,170000
"43",43,NA,9180,5,7,1983,1983,0,840,884,0,884,1,0,1,0,2,1,5,0,1983,2,504,240,0,0,0,0,12,2007,144000
"44",44,NA,9200,5,6,1975,1980,167,938,938,0,938,1,0,1,0,3,1,5,0,1977,1,308,145,0,0,0,0,7,2008,130250
"45",45,70,7945,5,6,1959,1959,465,1150,1150,0,1150,1,0,1,0,3,1,6,0,1959,1,300,0,0,0,0,0,5,2006,141000
"46",46,61,7658,9,5,2005,2005,1296,1752,1752,0,1752,1,0,2,0,2,1,6,1,2005,2,576,196,82,0,0,0,2,2010,319900
"47",47,48,12822,7,5,2003,2003,83,1434,1518,631,2149,1,0,1,1,1,1,6,1,2003,2,670,168,43,0,198,0,8,2009,239686
"48",48,84,11096,8,5,2006,2006,1632,1656,1656,0,1656,0,0,2,0,3,1,7,0,2006,3,826,0,146,0,0,0,7,2007,249700
"49",49,33,4456,4,5,1920,2008,736,736,736,716,1452,0,0,2,0,2,3,8,0,NA,0,0,0,0,102,0,0,6,2009,113000
"50",50,66,7742,5,7,1966,1966,192,955,955,0,955,1,0,1,0,3,1,6,0,1966,1,386,0,0,0,0,0,1,2007,127000
"51",51,NA,13869,6,6,1997,1997,612,794,794,676,1470,0,1,2,0,3,1,6,0,1997,2,388,0,75,0,0,0,7,2007,177000
"52",52,52,6240,6,6,1934,1950,816,816,816,0,1176,0,0,1,0,3,1,6,1,1985,2,528,112,0,0,0,0,9,2006,114500
"53",53,110,8472,5,5,1963,1963,0,816,816,0,816,1,0,1,0,2,1,5,0,1963,2,516,106,0,0,0,0,5,2010,110000
"54",54,68,50271,9,5,1981,1987,32,1842,1842,0,1842,2,0,0,1,0,1,5,1,1981,3,894,857,72,0,0,0,11,2006,385000
"55",55,60,7134,5,5,1955,1955,0,384,1360,0,1360,0,0,1,0,3,1,6,1,1962,2,572,0,50,0,0,0,2,2007,130000
"56",56,100,10175,6,5,1964,1964,935,1425,1425,0,1425,0,0,2,0,3,1,7,1,1964,2,576,0,0,0,0,0,7,2008,180500
"57",57,24,2645,8,5,1999,2000,321,970,983,756,1739,1,0,2,1,3,1,7,0,1999,2,480,115,0,0,0,0,8,2009,172500
"58",58,89,11645,7,5,2004,2004,860,860,860,860,1720,0,0,2,1,3,1,7,0,2004,2,565,0,70,0,0,0,8,2006,196500
"59",59,66,13682,10,5,2006,2006,1410,1410,1426,1519,2945,0,0,3,1,3,1,10,1,2006,3,641,192,0,37,0,0,10,2006,438780
"60",60,60,7200,5,7,1972,1972,148,780,780,0,780,0,0,1,0,2,1,4,0,1973,1,352,196,0,0,0,0,1,2008,124900
"61",61,63,13072,6,5,2004,2004,217,1158,1158,0,1158,1,0,1,1,3,1,5,0,2006,2,576,0,50,0,0,0,5,2006,158000
"62",62,60,7200,5,7,1920,1996,530,530,581,530,1111,0,0,1,0,3,1,6,0,1935,1,288,0,0,144,0,0,3,2007,101000
"63",63,44,6442,8,5,2006,2006,1346,1370,1370,0,1370,0,0,2,0,2,1,6,1,2006,2,484,120,49,0,0,0,10,2007,202500
"64",64,50,10300,7,6,1921,1950,576,576,902,808,1710,0,0,2,0,3,1,9,0,1990,2,480,12,11,64,0,0,4,2010,140000
"65",65,NA,9375,7,5,1997,1998,318,1057,1057,977,2034,1,0,2,1,3,1,8,0,1998,2,645,576,36,0,0,0,2,2009,219500
"66",66,76,9591,8,5,2004,2005,1143,1143,1143,1330,2473,0,0,2,1,4,1,9,1,2004,3,852,192,151,0,0,0,10,2007,317000
"67",67,NA,19900,7,5,1970,1989,1035,1947,2207,0,2207,1,0,2,0,3,1,7,1,1970,2,576,301,0,0,0,0,7,2010,180000
"68",68,72,10665,7,5,2003,2003,440,1453,1479,0,1479,1,0,2,0,3,1,7,0,2003,2,558,144,29,0,0,0,6,2007,226000
"69",69,47,4608,4,6,1945,1950,747,747,747,0,747,0,0,1,0,2,1,4,0,1945,1,220,0,0,0,0,0,6,2010,80000
"70",70,81,15593,7,4,1953,1953,701,1304,1304,983,2287,0,0,2,0,3,1,7,1,1953,2,667,0,21,114,0,0,7,2006,225000
"71",71,95,13651,7,6,1973,1973,343,2223,2223,0,2223,1,0,2,0,3,1,8,2,1973,2,516,300,0,0,0,0,2,2007,244000
"72",72,69,7599,4,6,1982,2006,280,845,845,0,845,1,0,1,0,2,1,4,0,1987,2,360,0,0,0,0,0,6,2007,129500
"73",73,74,10141,7,5,1998,1998,832,832,885,833,1718,0,0,2,1,3,1,7,1,1998,2,427,0,94,0,291,0,12,2009,185000
"74",74,85,10200,5,7,1954,2003,404,1086,1086,0,1086,1,0,1,0,3,1,6,0,1989,2,490,0,0,0,0,0,5,2010,144900
"75",75,60,5790,3,6,1915,1950,840,840,840,765,1605,0,0,2,0,3,2,8,0,1915,1,379,0,0,202,0,0,5,2010,107400
"76",76,21,1596,4,5,1973,1973,0,462,526,462,988,1,0,1,0,2,1,5,0,1973,1,297,120,101,0,0,0,11,2009,91000
"77",77,NA,8475,4,7,1956,1956,724,952,952,0,952,0,0,1,0,2,1,4,0,1956,1,283,0,0,0,0,0,4,2008,135750
"78",78,50,8635,5,5,1948,2001,295,672,1072,213,1285,1,0,1,0,2,1,6,0,1948,1,240,0,0,0,0,0,1,2008,127000
"79",79,72,10778,4,5,1968,1968,1768,1768,1768,0,1768,0,0,2,0,4,2,8,0,NA,0,0,0,0,0,0,0,4,2010,136500
"80",80,60,10440,5,6,1910,1981,440,440,682,548,1230,0,0,1,1,2,1,5,0,1966,2,440,74,0,128,0,0,5,2009,110000
"81",81,100,13000,6,6,1968,1968,448,896,1182,960,2142,0,0,2,1,4,1,8,1,1968,1,509,0,72,0,252,0,6,2009,193500
"82",82,32,4500,6,5,1998,1998,36,1237,1337,0,1337,1,0,2,0,2,1,5,0,1998,2,405,0,199,0,0,0,3,2006,153500
"83",83,78,10206,8,5,2007,2007,1530,1563,1563,0,1563,0,0,2,0,3,1,6,1,2007,3,758,144,99,0,0,0,10,2008,245000
"84",84,80,8892,5,5,1960,1960,1065,1065,1065,0,1065,0,0,1,1,3,1,6,0,1974,2,461,74,0,0,0,0,7,2007,126500
"85",85,NA,8530,7,5,1995,1996,384,384,804,670,1474,0,0,2,1,3,1,7,1,1995,2,400,120,72,0,0,0,5,2009,168500
"86",86,121,16059,8,5,1991,1992,1288,1288,1301,1116,2417,0,0,2,1,4,1,9,1,1991,2,462,127,82,0,0,0,4,2006,260000
"87",87,122,11911,6,5,2005,2005,684,684,684,876,1560,0,0,2,1,3,1,6,1,2005,2,400,100,38,0,0,0,3,2009,174000
"88",88,40,3951,6,5,2009,2009,612,612,612,612,1224,0,0,2,1,2,1,4,0,2009,2,528,0,234,0,0,0,6,2009,164500
"89",89,105,8470,3,2,1915,1982,1013,1013,1013,0,1526,0,0,1,0,2,1,6,0,NA,0,0,0,0,156,0,0,10,2009,85000
"90",90,60,8070,4,5,1994,1995,402,990,990,0,990,1,0,1,0,3,1,5,0,NA,0,0,0,0,0,0,0,8,2007,123600
"91",91,60,7200,4,5,1950,1950,0,0,1040,0,1040,0,0,1,0,2,1,4,0,1950,2,420,0,29,0,0,0,7,2006,109900
"92",92,85,8500,5,3,1961,1961,635,1235,1235,0,1235,0,0,1,0,2,1,6,0,1961,2,480,0,0,0,0,0,12,2006,98600
"93",93,80,13360,5,7,1921,2006,163,876,964,0,964,1,0,1,0,2,1,5,0,1921,2,432,0,0,44,0,0,8,2009,163500
"94",94,60,7200,6,6,1910,1998,168,1214,1260,1031,2291,0,1,2,0,4,2,9,1,1900,2,506,0,0,0,99,0,11,2007,133900
"95",95,69,9337,6,5,1997,1997,176,824,905,881,1786,1,0,2,1,3,1,7,0,1997,2,684,0,162,0,0,0,5,2007,204750
"96",96,NA,9765,6,8,1993,1993,370,680,680,790,1470,0,0,2,1,3,1,6,1,1993,2,420,232,63,0,0,0,4,2009,185000
"97",97,78,10264,7,5,1999,1999,426,1588,1588,0,1588,0,0,2,0,3,1,6,0,1999,2,472,158,29,0,0,0,8,2006,214000
"98",98,73,10921,4,5,1965,1965,440,960,960,0,960,1,0,1,0,3,1,6,0,1965,1,432,120,0,0,0,0,5,2007,94750
"99",99,85,10625,5,5,1920,1950,350,458,835,0,835,0,0,1,0,2,1,5,0,1920,1,366,0,0,77,0,0,5,2010,83000
"100",100,77,9320,4,5,1959,1959,381,950,1225,0,1225,1,0,1,1,3,1,6,0,NA,0,0,352,0,0,0,0,1,2010,128950
"101",101,NA,10603,6,7,1977,2001,410,1610,1610,0,1610,1,0,2,0,3,1,6,2,1977,2,480,168,68,0,0,0,2,2010,205000
"102",102,77,9206,6,5,1985,1985,741,741,977,755,1732,0,0,2,1,3,1,7,1,1985,2,476,192,46,0,0,0,6,2010,178000
"103",103,64,7018,5,5,1979,1979,0,0,1535,0,1535,0,0,2,0,4,2,8,0,1979,2,410,0,0,0,0,0,6,2009,118964
"104",104,94,10402,7,5,2009,2009,1226,1226,1226,0,1226,0,0,2,0,3,1,6,0,2009,3,740,0,36,0,0,0,5,2010,198900
"105",105,NA,7758,7,4,1931,1950,816,1040,1226,592,1818,0,0,1,1,4,1,7,2,1951,1,240,0,0,0,184,0,6,2007,169500
"106",106,75,9375,8,5,2003,2004,1053,1053,1053,939,1992,0,0,2,1,3,1,9,1,2003,2,648,140,45,0,0,0,8,2008,250000
"107",107,60,10800,4,7,1885,1995,641,641,1047,0,1047,0,0,1,0,2,1,6,0,1954,1,273,0,0,0,0,0,8,2007,100000
"108",108,50,6000,5,5,1948,1950,516,789,789,0,789,0,0,1,0,2,1,5,0,1948,1,250,0,0,0,0,0,4,2008,115000
"109",109,85,8500,5,7,1919,2005,793,793,997,520,1517,0,0,2,0,3,1,7,0,NA,0,0,0,0,144,0,0,8,2007,115000
"110",110,105,11751,6,6,1977,1977,1139,1844,1844,0,1844,0,0,2,0,3,1,7,1,1977,2,546,0,122,0,0,0,1,2010,190000
"111",111,75,9525,6,4,1954,1972,550,994,1216,639,1855,0,0,2,0,4,1,7,0,1954,1,325,182,0,0,0,0,10,2006,136900
"112",112,NA,7750,7,5,2000,2000,134,384,774,656,1430,0,0,2,1,3,1,7,1,2000,2,400,180,0,0,0,0,4,2010,180000
"113",113,77,9965,7,5,2007,2007,280,1264,1282,1414,2696,1,0,2,1,4,1,10,1,2007,3,792,120,184,0,168,0,10,2007,383970
"114",114,NA,21000,6,5,1953,1953,905,1809,2259,0,2259,1,0,2,0,3,1,7,2,1953,2,450,166,120,192,0,0,10,2007,217000
"115",115,61,7259,6,8,1945,2002,104,1028,1436,884,2320,1,0,2,1,3,1,9,1,1945,1,180,224,0,0,0,0,7,2007,259500
"116",116,34,3230,6,5,1999,1999,310,729,729,729,1458,0,0,2,1,2,1,5,1,1999,2,440,0,32,0,0,0,6,2007,176000
"117",117,NA,11616,5,5,1962,1962,252,1092,1092,0,1092,0,1,1,0,3,1,6,1,1962,1,288,0,20,144,0,0,9,2009,139000
"118",118,74,8536,5,5,2006,2007,1125,1125,1125,0,1125,0,0,1,1,2,1,5,0,2007,2,430,80,64,0,0,0,4,2007,155000
"119",119,90,12376,7,5,1990,1990,203,1673,1699,1523,3222,1,0,3,0,5,1,11,2,1990,3,594,367,0,0,0,0,5,2010,320000
"120",120,65,8461,6,5,2005,2006,728,728,728,728,1456,0,0,2,1,3,1,8,1,2005,2,390,0,24,0,0,0,7,2006,163990
"121",121,NA,21453,6,5,1969,1969,0,938,988,0,988,1,0,1,0,1,1,4,2,1969,2,540,0,130,0,0,0,10,2006,180000
"122",122,50,6060,4,5,1939,1950,732,732,772,351,1123,0,0,1,0,3,1,4,0,1979,1,264,0,0,140,0,0,6,2007,100000
"123",123,75,9464,6,7,1958,1958,510,1080,1080,0,1080,0,0,1,0,3,1,5,0,1958,1,288,0,0,0,130,0,6,2008,136000
"124",124,55,7892,6,5,1993,1993,899,1199,1199,0,1199,0,0,2,0,2,1,5,0,1993,2,530,0,63,0,0,0,3,2008,153900
"125",125,48,17043,6,5,1979,1998,1362,1362,1586,0,1586,0,0,2,0,3,1,7,1,1979,2,435,192,0,0,0,0,1,2009,181000
"126",126,60,6780,6,8,1935,1982,30,520,520,0,754,1,0,1,0,2,1,5,0,NA,0,0,53,0,0,0,0,6,2006,84500
"127",127,NA,4928,6,5,1976,1976,958,1078,958,0,958,0,0,2,0,2,1,5,1,1977,2,440,0,205,0,0,0,2,2007,128000
"128",128,55,4388,5,7,1930,1950,556,672,840,0,840,0,0,1,0,3,1,5,1,NA,0,0,0,0,0,0,0,6,2007,87000
"129",129,69,7590,6,5,1966,1966,148,660,660,688,1348,0,0,1,1,3,1,6,1,1966,2,453,188,108,0,0,0,7,2006,155000
"130",130,69,8973,5,7,1958,1991,413,1008,1053,0,1053,0,1,1,1,3,1,6,0,1998,2,750,0,80,0,0,0,7,2006,150000
"131",131,88,14200,7,6,1966,1966,479,924,1216,941,2157,0,0,2,1,4,1,8,2,1966,2,487,105,66,0,0,0,5,2006,226000
"132",132,NA,12224,6,5,2000,2000,297,992,1022,1032,2054,1,0,2,1,3,1,7,1,2000,2,390,24,48,0,0,0,7,2009,244000
"133",133,75,7388,5,6,1959,2002,658,1063,1327,0,1327,1,0,1,0,3,1,7,0,1974,2,624,0,0,0,0,0,7,2007,150750
"134",134,NA,6853,8,5,2001,2002,262,1267,1296,0,1296,1,0,2,0,2,1,6,0,2001,2,471,192,25,0,0,0,6,2009,220000
"135",135,78,10335,5,6,1968,1993,891,1461,1721,0,1721,0,0,2,1,3,1,7,1,1968,2,440,0,96,180,0,0,7,2006,180000
"136",136,80,10400,7,6,1970,1970,1304,1304,1682,0,1682,0,0,2,0,3,1,7,1,1970,2,530,98,0,0,0,0,5,2008,174000
"137",137,NA,10355,5,5,1967,1967,519,1214,1214,0,1214,0,0,2,0,3,1,5,1,1967,1,318,0,111,0,0,0,7,2007,143000
"138",138,82,11070,7,5,1988,1989,1907,1907,1959,0,1959,0,0,3,0,5,2,9,0,1989,3,766,0,0,0,0,0,7,2006,171000
"139",139,73,9066,8,5,1999,2000,336,1004,1004,848,1852,0,0,2,1,3,1,7,2,1999,3,660,224,106,0,0,0,12,2008,230000
"140",140,65,15426,6,5,1997,1997,107,928,928,836,1764,1,0,2,1,3,1,7,0,1997,2,470,276,99,0,0,0,8,2009,231500
"141",141,70,10500,4,5,1971,1971,432,864,864,0,864,0,0,1,0,3,1,5,1,NA,0,0,0,0,0,0,0,4,2010,115000
"142",142,78,11645,7,5,2005,2005,434,1734,1734,0,1734,1,0,2,0,3,1,7,0,2005,2,660,160,24,0,0,0,1,2006,260000
"143",143,71,8520,5,4,1952,1952,403,910,910,475,1385,0,0,2,0,4,1,6,0,2000,2,720,0,0,0,0,0,6,2010,166000
"144",144,78,10335,7,5,1999,1999,811,1490,1501,0,1501,1,0,2,0,3,1,6,0,1999,2,577,144,29,0,0,0,6,2009,204000
"145",145,70,9100,5,5,1963,1963,396,1728,1728,0,1728,1,0,2,0,6,2,10,0,1963,2,504,0,0,0,0,0,11,2006,125000
"146",146,24,2522,6,5,2004,2006,970,970,970,739,1709,0,0,2,0,3,1,7,0,2004,2,380,0,40,0,0,0,4,2006,130000
"147",147,51,6120,5,7,1931,1993,506,715,875,0,875,1,0,1,0,2,1,5,0,1931,1,180,48,0,0,0,0,11,2009,105000
"148",148,NA,9505,7,5,2001,2001,884,884,884,1151,2035,0,0,2,1,3,1,8,1,2001,2,434,144,48,0,0,0,5,2010,222500
"149",149,63,7500,7,5,2004,2005,400,1080,1080,0,1080,1,0,1,0,3,1,6,0,NA,0,0,0,0,0,0,0,4,2008,141000
"150",150,NA,6240,5,4,1936,1950,896,896,896,448,1344,0,0,1,0,3,1,7,0,1936,1,240,200,114,0,0,0,4,2006,115000
"151",151,120,10356,5,6,1975,1975,253,969,969,0,969,0,0,1,1,3,1,5,0,1975,2,440,0,0,0,0,0,1,2007,122000
"152",152,107,13891,8,5,2007,2008,310,1710,1710,0,1710,1,0,2,0,2,1,6,1,2007,3,866,0,102,0,0,0,1,2008,372402
"153",153,NA,14803,6,5,1971,1971,409,825,1097,896,1993,0,0,2,1,4,1,8,1,1971,2,495,0,66,0,0,0,6,2006,190000
"154",154,NA,13500,6,7,1960,1975,93,1602,1252,0,1252,1,0,1,0,1,1,4,1,1960,2,564,409,0,0,0,0,3,2008,235000
"155",155,84,11340,6,5,1923,1950,1200,1200,1200,0,1200,0,0,1,0,4,1,7,0,1923,1,312,0,0,228,0,0,3,2006,125000
"156",156,60,9600,6,5,1924,1950,572,572,572,524,1096,0,0,1,0,2,1,5,0,NA,0,0,0,8,128,0,0,4,2008,79000
"157",157,60,7200,5,7,1950,1950,0,0,1040,0,1040,0,0,1,0,2,1,5,0,1950,2,625,0,0,0,0,0,6,2006,109500
"158",158,92,12003,8,5,2009,2010,774,774,774,1194,1968,0,0,2,1,4,1,8,1,2009,3,680,0,75,0,0,0,5,2010,269500
"159",159,100,12552,7,5,2004,2005,769,991,991,956,1947,0,0,2,1,3,1,8,1,2004,2,678,0,136,0,0,0,5,2010,254900
"160",160,134,19378,7,5,2005,2006,1335,1392,1392,1070,2462,1,0,2,1,4,1,9,1,2006,2,576,239,132,0,0,0,3,2006,320000
"161",161,NA,11120,6,6,1984,1984,572,1232,1232,0,1232,0,0,2,0,3,1,6,0,1984,2,516,0,0,0,0,0,6,2008,162500
"162",162,110,13688,9,5,2003,2004,556,1572,1572,1096,2668,1,0,2,1,3,1,10,2,2003,3,726,400,0,0,0,0,3,2008,412500
"163",163,95,12182,7,5,2005,2005,340,1541,1541,0,1541,0,0,2,0,3,1,7,1,2005,2,532,0,70,0,0,0,5,2010,220000
"164",164,55,5500,4,6,1956,1956,882,882,882,0,882,0,0,1,0,1,1,4,0,NA,0,0,0,0,0,0,0,4,2007,103200
"165",165,40,5400,6,7,1926,2004,779,1149,1149,467,1616,0,0,2,0,3,1,5,0,1926,1,216,0,0,183,0,0,10,2007,152000
"166",166,62,10106,5,7,1940,1999,112,644,808,547,1355,1,0,2,0,4,2,6,0,NA,0,0,140,0,0,0,0,9,2008,127500
"167",167,NA,10708,5,5,1955,1993,470,1617,1867,0,1867,1,0,1,0,2,1,7,3,1955,1,303,476,0,0,142,0,11,2009,190000
"168",168,86,10562,8,5,2007,2007,294,1582,1610,551,2161,1,0,1,1,3,1,8,1,2007,3,789,178,120,0,0,0,11,2007,325624
"169",169,62,8244,7,5,2004,2004,840,840,840,880,1720,0,0,2,1,3,1,7,1,2004,2,440,100,48,0,0,0,5,2007,183500
"170",170,NA,16669,8,6,1981,1981,1686,1686,1707,0,1707,0,0,2,1,2,1,6,1,1981,2,511,574,64,0,0,0,1,2006,228000
"171",171,NA,12358,5,6,1941,1950,360,720,854,0,1382,0,0,1,1,2,1,7,0,1991,2,660,237,0,0,0,0,5,2007,128500
"172",172,141,31770,6,5,1960,1960,441,1080,1656,0,1656,1,0,1,0,3,1,7,2,1960,2,528,210,62,0,0,0,5,2010,215000
"173",173,44,5306,7,7,1987,1987,354,1064,1064,703,1767,1,0,2,0,2,1,5,1,1987,2,504,441,35,0,0,0,6,2006,239000
"174",174,80,10197,6,5,1961,1961,700,1362,1362,0,1362,1,0,1,1,3,1,6,1,1961,2,504,0,20,0,0,0,6,2008,163000
"175",175,47,12416,6,5,1986,1986,0,1606,1651,0,1651,1,0,2,0,3,1,7,1,1986,2,616,192,0,0,0,0,11,2008,184000
"176",176,84,12615,6,7,1950,2001,725,1202,2158,0,2158,1,0,2,0,4,1,7,1,1950,2,576,0,29,39,0,0,6,2007,243000
"177",177,97,10029,6,5,1988,1989,320,1151,1164,896,2060,0,1,2,1,4,1,8,1,1988,2,521,0,228,0,192,0,9,2007,211000
"178",178,NA,13650,5,5,1958,1958,554,1052,1252,668,1920,1,0,2,0,4,1,8,1,1958,2,451,0,0,0,0,0,7,2006,172500
"179",179,63,17423,9,5,2008,2009,312,2216,2234,0,2234,1,0,2,0,1,1,9,1,2009,3,1166,0,60,0,0,0,7,2009,501837
"180",180,60,8520,5,6,1923,2006,968,968,968,0,968,0,0,1,0,2,1,5,0,1935,2,480,0,0,184,0,0,7,2007,100000
"181",181,NA,2117,6,5,2000,2000,320,756,769,756,1525,0,0,2,1,3,1,5,1,2000,2,440,0,0,0,0,0,6,2007,177000
"182",182,54,7588,7,6,1920,1950,441,793,901,901,1802,0,0,1,1,4,1,9,1,1920,1,216,0,0,40,0,0,7,2006,200100
"183",183,60,9060,5,6,1957,2006,0,0,1340,0,1340,0,0,1,0,3,1,7,1,1957,1,252,116,0,0,0,0,6,2007,120000
"184",184,63,11426,7,5,2003,2003,1362,1362,1362,720,2082,0,0,2,1,3,1,6,0,2003,2,484,280,238,0,0,0,6,2008,200000
